ENSSSCG00000005588	NR5A1	
ENSSSCG00000005673		
ENSSSCG00000005789		
ENSSSCG00000005793		
ENSSSCG00000005800		
ENSSSCG00000005808		
ENSSSCG00000005813		
ENSSSCG00000005810		
ENSSSCG00000005824		
ENSSSCG00000027589		
ENSSSCG00000018096		
ENSSSCG00000018094	CYTB	cytochrome b (mitochondrion)  [Source:RefSeq peptide;Acc:NP_008646]
ENSSSCG00000018095		
ENSSSCG00000018093		
ENSSSCG00000018092	ND6	NADH-ubiquinone oxidoreductase chain 6  [Source:UniProtKB/Swiss-Prot;Acc:O79882]
ENSSSCG00000018090		
ENSSSCG00000018091	ND5	NADH-ubiquinone oxidoreductase chain 5  [Source:UniProtKB/Swiss-Prot;Acc:Q9TDR1]
ENSSSCG00000018089		
ENSSSCG00000018088		
ENSSSCG00000018087	ND4	NADH-ubiquinone oxidoreductase chain 4  [Source:UniProtKB/Swiss-Prot;Acc:O79881]
ENSSSCG00000018086	ND4L	NADH dehydrogenase subunit 4L (mitochondrion)  [Source:RefSeq peptide;Acc:NP_008642]
ENSSSCG00000018085		
ENSSSCG00000018084	ND3	NADH-ubiquinone oxidoreductase chain 3  [Source:UniProtKB/Swiss-Prot;Acc:O79880]
ENSSSCG00000018083		
ENSSSCG00000018082	COX3	Cytochrome c oxidase subunit 3  [Source:UniProtKB/Swiss-Prot;Acc:Q35916]
ENSSSCG00000018081	ATP6	ATP synthase subunit a  [Source:UniProtKB/Swiss-Prot;Acc:Q35915]
ENSSSCG00000018080	ATP8	ATP synthase protein 8  [Source:UniProtKB/Swiss-Prot;Acc:Q35914]
ENSSSCG00000018079		
ENSSSCG00000018078	COX2	cytochrome c oxidase subunit II (mitochondrion)  [Source:RefSeq peptide;Acc:NP_008637]
ENSSSCG00000018076		
ENSSSCG00000018077		
ENSSSCG00000018074		
ENSSSCG00000018075	COX1	Cytochrome c oxidase subunit 1  [Source:UniProtKB/Swiss-Prot;Acc:O79876]
ENSSSCG00000018073		
ENSSSCG00000018072		
ENSSSCG00000018070		
ENSSSCG00000018071		
ENSSSCG00000018069	ND2	NADH dehydrogenase subunit 2 (mitochondrion)  [Source:RefSeq peptide;Acc:NP_008635]
ENSSSCG00000018068		
ENSSSCG00000018067		
ENSSSCG00000018066		
ENSSSCG00000018064		
ENSSSCG00000018065	ND1	NADH dehydrogenase subunit 1 (mitochondrion)  [Source:RefSeq peptide;Acc:NP_008634]
ENSSSCG00000018063		
ENSSSCG00000018062		
ENSSSCG00000018061		
ENSSSCG00000018060		
ENSSSCG00000023697	REM2	RAS (RAD and GEM)-like GTP binding 2 [Source:HGNC Symbol;Acc:HGNC:20248]
ENSSSCG00000021697		
ENSSSCG00000021557		
ENSSSCG00000022732		
ENSSSCG00000023053	LRP10	LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]
ENSSSCG00000028012		
ENSSSCG00000023846	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit [Source:HGNC Symbol;Acc:HGNC:11551]
ENSSSCG00000022911		
ENSSSCG00000028199		
ENSSSCG00000024979		
ENSSSCG00000023538		
ENSSSCG00000029462		
ENSSSCG00000021811	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28638]
ENSSSCG00000021684	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]
ENSSSCG00000028188		
ENSSSCG00000025868		
ENSSSCG00000024701	NEK8	NIMA-related kinase 8 [Source:HGNC Symbol;Acc:HGNC:13387]
ENSSSCG00000027347		
ENSSSCG00000026089	CRTAC1	cartilage acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:14882]
ENSSSCG00000029802		
ENSSSCG00000026174	GOLGA7B	golgin A7 family member B [Source:HGNC Symbol;Acc:HGNC:31668]
ENSSSCG00000023718		
ENSSSCG00000024489		
ENSSSCG00000021020		
ENSSSCG00000022681		
ENSSSCG00000025163		
ENSSSCG00000026117	VWA7	von Willebrand factor A domain containing 7 [Source:HGNC Symbol;Acc:HGNC:13939]
ENSSSCG00000021848		
ENSSSCG00000028401		
ENSSSCG00000025243	SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:25412]
ENSSSCG00000025395	TCTEX1D1	Tctex1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26882]
ENSSSCG00000028935	INSL5	insulin like 5 [Source:HGNC Symbol;Acc:HGNC:6088]
ENSSSCG00000022305	WDR78	WD repeat domain 78 [Source:HGNC Symbol;Acc:HGNC:26252]
ENSSSCG00000030212		
ENSSSCG00000030601		
ENSSSCG00000021607		
ENSSSCG00000026221		
ENSSSCG00000026321		
ENSSSCG00000007247	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]
ENSSSCG00000024765		
ENSSSCG00000027668		
ENSSSCG00000024385	RNASEH2B	ribonuclease H2 subunit B  [Source:RefSeq peptide;Acc:NP_001231421]
ENSSSCG00000027519	MYOM3	myomesin 3 [Source:HGNC Symbol;Acc:HGNC:26679]
ENSSSCG00000028102	TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]
ENSSSCG00000026785		
ENSSSCG00000027288	DAGLB	diacylglycerol lipase, beta [Source:HGNC Symbol;Acc:HGNC:28923]
ENSSSCG00000024135		
ENSSSCG00000021263		
ENSSSCG00000029954	THRAP3	thyroid hormone receptor associated protein 3 [Source:HGNC Symbol;Acc:HGNC:22964]
ENSSSCG00000026168		
ENSSSCG00000023989		
ENSSSCG00000027186		
ENSSSCG00000024011		
ENSSSCG00000025932	AP1S3	adaptor related protein complex 1 sigma 3 subunit [Source:HGNC Symbol;Acc:HGNC:18971]
ENSSSCG00000024840		
ENSSSCG00000024202		
ENSSSCG00000024071	SCARF1	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]
ENSSSCG00000003724		
ENSSSCG00000029853		
ENSSSCG00000016178		
ENSSSCG00000023447		
ENSSSCG00000024800	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]
ENSSSCG00000020968	OR4D11	olfactory receptor family 4 subfamily D member 11 [Source:HGNC Symbol;Acc:HGNC:15174]
ENSSSCG00000009516	UBAC2	UBA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20486]
ENSSSCG00000002881	FFAR2	free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]
ENSSSCG00000026123	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]
ENSSSCG00000027914		
ENSSSCG00000028847	DSC3	desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]
ENSSSCG00000010973	RPP25L	ribonuclease P/MRP 25kDa subunit-like [Source:HGNC Symbol;Acc:HGNC:19909]
ENSSSCG00000029946	OR4D10	olfactory receptor family 4 subfamily D member 10 [Source:HGNC Symbol;Acc:HGNC:15173]
ENSSSCG00000021730		
ENSSSCG00000024333		
ENSSSCG00000017816	RILP	Rab interacting lysosomal protein [Source:HGNC Symbol;Acc:HGNC:30266]
ENSSSCG00000026967		
ENSSSCG00000024282		free fatty acid receptor 2-like  [Source:RefSeq peptide;Acc:NP_001265694]
ENSSSCG00000016151	MAP2	microtubule associated protein 2 [Source:HGNC Symbol;Acc:HGNC:6839]
ENSSSCG00000006815		
ENSSSCG00000027964		
ENSSSCG00000010974	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]
ENSSSCG00000028002		
ENSSSCG00000009985	CABP7	calcium binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20834]
ENSSSCG00000020890		
ENSSSCG00000016507		
ENSSSCG00000024279		
ENSSSCG00000002891		
ENSSSCG00000023809		
ENSSSCG00000016538		
ENSSSCG00000024524		
ENSSSCG00000016550		
ENSSSCG00000016584		
ENSSSCG00000028715		
ENSSSCG00000016615		
ENSSSCG00000027662		
ENSSSCG00000016735		
ENSSSCG00000006277	SPIDR	scaffolding protein involved in DNA repair [Source:HGNC Symbol;Acc:HGNC:28971]
ENSSSCG00000016846	WDR70	WD repeat domain 70 [Source:HGNC Symbol;Acc:HGNC:25495]
ENSSSCG00000025615		
ENSSSCG00000016848	EGFLAM	EGF-like, fibronectin type III and laminin G domains [Source:HGNC Symbol;Acc:HGNC:26810]
ENSSSCG00000002892	FFAR1	free fatty acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:4498]
ENSSSCG00000028642		
ENSSSCG00000013131	OR4D6	olfactory receptor family 4 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:15175]
ENSSSCG00000009517	GPR183	G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]
ENSSSCG00000025611		
ENSSSCG00000021432		
ENSSSCG00000025697		
ENSSSCG00000021305		
ENSSSCG00000028660		
ENSSSCG00000027944		
ENSSSCG00000002893	CD22	CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]
ENSSSCG00000024712	APCDD1	adenomatosis polyposis coli down-regulated 1 [Source:HGNC Symbol;Acc:HGNC:15718]
ENSSSCG00000008993	NPY2R	neuropeptide Y receptor Y2 [Source:HGNC Symbol;Acc:HGNC:7957]
ENSSSCG00000021096	PDLIM1	PDZ and LIM domain 1 [Source:HGNC Symbol;Acc:HGNC:2067]
